idx,start_sec,end_sec,text
62,542.050,545.910,En este caso por decir que vamos a resaltar algunos bordes de unos elementos.
63,546.250,553.370,"Entonces simplemente yo puedo tener esa característica y en función de esa característica que podemos tener de esa representación,"
64,553.370,561.710,tal vez lo podemos agrupar de una manera estratégica y esa agrupación yo puedo tener prácticamente como unas secciones
65,561.710,568.970,"donde permite justamente, posteriormente, clasificar esa región en función de alguna morfología, por ejemplo."
66,569.350,574.830,"Entonces eso es una de las cosas que están ahí, pero con el nuevo enfoque de YOLO cambia un poco,"
67,575.050,579.330,"donde en este caso no es ahora que nosotros seleccionamos cualquiera de los filtros, en cierta manera,"
68,579.330,586.810,Él extrae unos patrones y con esos patrones trata justamente de identificar el objeto de interés.
69,588.730,597.190,"Entonces, YOLO, digamos, este enfoque es bastante interesante y fue desarrollado específicamente, como ya les comentaba, para detección de objetos."
70,597.510,602.730,"Y eso lo desarrolló, o lo propuso, Joseph y sus colegas en 2016."
71,602.730,618.070,"No es modelo viejo en ese sentido, son relativamente recientes, estamos hablando de 10 años y ya en 10 años ha evolucionado un montón de versiones y ahora YOLO creo que está por la versión 16 o 17 si no me equivoco."
72,618.070,642.630,"Bien, y acá, digamos, ahorita se va actualizando cada vez más, haciendo una pequeña modificación interna. Y lo interesante de YOLO, digamos, su ventaja es que es relativamente rápida y directamente es directa, porque justamente alimenta el modelo, o alimentamos el modelo con los datos o la imagen, y él va a tratar de encontrar esos elementos de un extremo a otro, digamos, en la ejecución, prácticamente, ¿no?"
73,642.630,649.330,"Entonces, con eso lo ha utilizado mucho en diferentes entornos para efectos como predicción en tiempos reales."
74,649.330,659.810,"O sea que en la industria se han utilizado cámaras que logran detectar, digamos, detectar algunos objetos de interés y, digamos, se puede ejecutarse de forma rápida."
75,659.950,663.110,"Entonces, estos modelos son bastante atractivos en ese aspecto."
76,663.530,666.330,"Y claro, existen muchas versiones, versiones pesadas, versiones livianas."
77,667.050,672.410,"Entonces, cada una de estas versiones, ustedes lo tomarían como referencia para adaptarlo a diferente contexto."
78,672.630,690.590,"Entonces la idea prácticamente es esto, yo tengo esta imagen referencia, lo someto al modelo por ejemplo, entonces me va a entregar prácticamente como estas cajitas, digamos lo ideal, esas cajitas, y estas cajitas también posiblemente me pueden indicar unos números, unos números que posiblemente sea como la probabilidad."
79,690.590,697.170,"Entonces, esa probabilidad y aquí tenemos qué tipo o qué categoría pertenece a esa cajita."
80,697.330,701.730,"Entonces, si es una persona, ¿con qué tanto probabilidad sería la detección?"
81,702.110,707.470,Eso daría mucho más de información para efecto de si algo está bien clasificado o no.
82,707.770,712.130,"Bien, eso en caso de los modelos bastante ideales, bien entrenados, por supuesto."
83,712.130,714.470,entonces
84,714.470,717.430,digamos el proceso
85,717.430,719.370,de cómo funciona este YOLO
86,719.370,721.270,es lo siguiente
87,721.270,722.850,prácticamente YOLO
88,722.850,725.370,en su inicio por supuesto fue tratado
89,725.370,727.130,con un tamaño de
90,727.130,729.730,448 x 448
91,729.730,731.390,digamos ese fue como
92,731.390,733.750,"el inicio de ella, el concepto"
93,733.750,735.930,de ella como fue basada en su construcción
94,735.930,737.950,sin embargo actualmente uno puede
95,737.950,739.570,colocar imágenes más grandes
96,739.570,741.630,o podemos achicarla
97,741.630,743.530,Depende de cómo lo podemos trabajar.
98,743.730,747.630,"Si tenemos el interés de tener detalles,"
99,747.890,751.730,"entonces hay que ver cómo podemos reducir sin perder muchos detalles,"
100,752.270,757.110,"o si no, variar el modelo de manera que uno puede trabajar con resoluciones grandes, por ejemplo."
101,757.870,762.090,"Entonces, su inicio prácticamente es lo siguiente, parte de esta dimensión,"
102,762.290,764.430,"de esta imagen cuadrada, por ejemplo."
103,765.050,766.910,"Entonces, ¿qué es lo que hace en realidad?"
104,767.790,771.410,"Prácticamente, yo voy a, en vez de fijarme completamente en la imagen,"
105,771.410,773.350,¿Qué es lo que hay en sí?
106,773.570,776.650,"Si no, yo voy a hacer una división a esa imagen."
107,776.910,779.950,"Entonces, esa división es lo que conocemos como cuadrilla."
108,780.370,783.010,"Entonces, si nosotros tenemos esta imagen, por ejemplo,"
109,783.150,786.050,"y lo digamos en siete columnas y siete filas,"
110,786.170,787.710,entonces tendríamos una grilla.
111,788.090,790.250,"Esa grilla, lo que hacemos es lo siguiente."
112,790.690,792.790,"Para cada uno de estos cuadritos que tenemos acá,"
113,793.270,796.090,vamos a tratar de ver si hay algo o no hay algo de interés.
114,796.350,800.410,"Si hay algo de interés, entonces lo resaltamos con un punto específico"
115,800.410,811.790,"y la categorizamos a esa cuadrilla como la cuadrilla principal que contiene, digamos, que está el centro de ese objeto."
116,812.210,819.570,"Entonces, por tanto, uno lo que hace es tratar de darle esa responsabilidad para esta celda específica"
117,819.570,828.310,y en este caso el punto rojo hace la referencia que ahí representa a una persona como su parte central.
118,828.310,830.130,Eso es lo que hace como referencia.
119,830.410,849.870,"Bien, y en unas partes, puede ser el punto azul, sería como la referencia al centro de este caso del caballo, por ejemplo, entonces le asigna rot a cada una de estas celdas para justamente que tenga esa responsabilidad o el identificado principal de que hay algo en esa región, pongamos esa forma."
120,849.870,858.830,"Bien, fuera de esto, que tenemos esta celda, tal vez en este caso uno pensaría, bueno, pero si aquí hay una parte del caballo, aquí también hay una parte del caballo, aquí hay una parte de humano."
121,859.010,870.130,"Pero su principal, digamos, celda principal, que justamente se orienta para saber si hay un objeto o no, son estas celdas que tendrían como referencia la parte central de cada uno de los objetos."
122,870.530,873.710,"Del resto de ellas, decimos que no hay nada. Eso es lo que es la idea."
123,873.710,892.810,Entonces el modelo prácticamente lo que va a suministrarle prácticamente la imagen y la detección sería tratar de estimar cuál sería la cuadrilla que tiene el centro del objeto y también te permite a su vez estimar cuál sería el ancho y el alto de esa cajita.
124,892.810,905.630,"Entonces, uno tiene prácticamente las coordenadas. Si tenemos la coordenada de un rectángulo, simplemente, por decir, la esquina superior izquierda y la esquina inferior derecha, yo puedo tener la cajita que encierra justamente ese objeto."
125,905.930,910.850,"Entonces, simplemente podemos estimar dos parámetros que justamente conforman esa cajita."
126,911.230,918.270,"Adicional, pues sería la clase, ¿ok? El que pertenece a ese objeto, digamos, a esa celda de interés."
127,918.270,925.730,"Si aquí, digamos, tratamos de identificar la predicción, tal vez me predice el ancho y el alto o el punto izquierdo superior y este inferior."
128,926.270,929.430,Y además la categoría que pertenece. En este caso sería una persona.
129,929.850,930.370,"Hola, ¿qué tal?"
130,935.790,942.010,"Captcha, en cierta manera, es parecido, pero el Captcha es como más identificado manual para..."
131,942.010,946.070,Pero no es estrictamente la ubicación.
132,946.930,949.570,Captcha totalmente parece varias fotitos.
133,949.570,955.810,"entonces me identifica cuál sería vehículo, cuál sería escalera."
134,956.270,957.170,Ese es el CAPTCHA sencillo.
135,957.630,960.510,"Está el otro CAPTCHA, posiblemente, no sé si es el mismo nombre,"
136,960.910,963.070,donde tenemos varias cosas sobre la imagen.
137,963.190,969.270,"Uno le da clic sobre los puntos para totalmente identificar si hay un W, un S o un 2."
138,969.270,981.130,"Ese posiblemente sea un identificador para que ese punto contiene el objeto que estamos, como clasificarlo de esa manera."
139,981.610,994.930,"Eso de cierta manera es un trabajo que le estamos regalando al servicio, porque ese lo crearon de esa manera, para ver cómo podemos aumentar un poco más las etiquetas de estas imágenes."
140,994.930,1009.170,"Entonces, esas captchas que tú mencionas, que si seleccionamos un 2, si hay un W, si hay un signo de interrogación, prácticamente estamos dando la ubicación, dónde podría estar. Y bueno, entre varias personas puede ser que calcule el promedio. Y tenemos ese enroide."
141,1009.170,1012.430,en cambio la otra es prácticamente
142,1012.430,1014.390,identificar dónde está la moto
143,1014.390,1016.010,"o si hay motos, si hay vehículos"
144,1016.010,1018.250,simplemente le está dando como una etiqueta
145,1018.250,1020.630,entonces ahí ellos crearían su base de datos
146,1020.630,1022.050,que era aquí tenemos
147,1022.050,1024.330,"un montón de vehículos, aquí tenemos un montón"
148,1024.330,1026.290,"de personas, entonces prácticamente"
149,1026.290,1028.030,como estamos regalando el servicio
150,1028.030,1030.570,pero es una parte
151,1030.570,1032.290,de la idea de crear la base de datos
152,1032.290,1034.070,"pero en el fondo, digamos"
153,1034.070,1036.050,no está relacionado con
154,1036.050,1037.910,Amarrao directamente con YOLO
155,1037.910,1040.050,"Si no, es gestión de base de datos."
156,1040.910,1041.010,Bien.
157,1041.910,1042.510,Ahora consulta.
158,1045.370,1047.810,"Entonces, por tanto, acá, digamos, YOLO,"
159,1047.970,1052.210,"se puede, digamos, resumirlo justamente en dividir la imagen en varias celditas."
160,1052.410,1055.690,"Bien, entonces, en este caso, celdas cuadradas posiblemente, mayormente."
161,1056.250,1059.150,"Bien, entonces, en cada una de estas celdas podemos identificar"
162,1059.150,1062.970,"cuál sería como la celda responsable que contiene,"
163,1063.210,1065.050,"que se encarga del objeto, vamos a decir."
164,1065.650,1065.810,Bien.
165,1065.810,1092.530,"Entonces, mayormente los datos que tenemos, pues tenemos prácticamente la etiqueta que representa esa imagen, ¿bien? En este caso, por decir, yo voy a tener un vehículo, en este caso, ¿bien? Y el vehículo, digamos, depende de la base de datos, algunos ya proveen directamente las coordenadas de la esquina superior, ¿ok? O de la esquina inferior, los proveen directamente como las cajitas, ¿bien?"
166,1092.530,1096.210,Y proporciona prácticamente como una especie de un vector.
167,1096.470,1099.510,Entonces este vector sería que estamos hablando de un vehículo
168,1099.510,1103.470,"y tenemos las coordenadas que está la parte inferior,"
169,1103.770,1106.190,"bueno, aquí es la parte superior de acá,"
170,1106.350,1107.650,y el inferior es el que tenemos acá.
171,1108.310,1110.970,La mayoría de las coordenadas de la imagen están como invertidas.
172,1111.350,1113.450,"Entonces generalmente empieza del cero aquí arriba,"
173,1113.670,1116.010,"en algunos casos, y depende de la lengua de programación,"
174,1116.110,1117.790,algunos lo colocan de aquí abajo.
175,1118.410,1122.190,"Entonces, en este caso, la esquina inferior, podemos decir,"
176,1122.530,1124.370,"estaría como relacionada con el mínimo,"
177,1124.550,1126.130,"o la esquina superior estaría relacionada con el mínimo,"
178,1126.370,1131.110,y el inferior estaría relacionado con lo que es el máximo de esa representación.
179,1131.590,1135.650,"Pero digamos, son algunas estructuras que podrán llegarse"
180,1135.650,1138.270,"cuando ustedes consiguen una base de datos,"
181,1138.470,1140.470,"asociada como detección de objetos,"
182,1140.950,1143.930,"siempre le da la característica, bueno, la etiqueta,"
183,1144.410,1145.930,"que hace referencia a esa imagen,"
184,1146.410,1150.570,"y las coordenadas que está representada a ese objeto, prácticamente es eso."
185,1150.570,1166.530,"Bien, entonces esa es la representación que mayormente podemos encontrar. Bien, entonces lo que hacemos principalmente para poder abordar YOLO, en vez de estimar directamente lo que es el punto superior o el punto inferior, lo que vamos a tomar como referencia es el punto central."
186,1166.530,1180.630,"Entonces el punto central y el ancho y el alto. ¿Por qué? Porque justamente la celda de interés que se encarga de representar el objeto debe tener esa coordenada como parte de su, o dentro de ella."
187,1180.630,1192.410,"Entonces, si está dentro de ella, por tanto, esa coordenada debe estar como su principal objeto de estimación y fuera de ella tratamos de ver si esa característica en sus vecinales, por ejemplo,"
188,1193.230,1197.710,justamente aborda esa relación y trata de estimar lo que es el ancho y el alto.
189,1197.710,1215.590,"De manera que si tenemos los datos originalmente, como las coordenadas esquina superior izquierda, esquina inferior derecha, los convertimos como números, digamos, los centralizamos en función de esos valores y también decidimos o calculamos cuál sería su ancho y el alto."
190,1215.590,1230.250,"Entonces, prácticamente los datos que nosotros suministramos a YOLO sería la etiqueta, modificada posiblemente, el centro donde está ubicada ese objeto y también el ancho y el alto donde justamente encierra ese objeto."
191,1230.510,1235.590,Esos prácticamente son los datos que se usan para el efecto de trabajar con YOLO.
192,1236.250,1238.890,"Algunos de ambos modelos que usted puede encontrarse en la plataforma,"
193,1239.250,1241.810,"no es necesario que usted suministre estas transformaciones,"
194,1242.010,1245.690,porque él internamente tiene un proceso que ya hace esa transformación.
195,1245.950,1249.810,"Entonces, algunos que son directos en ese tratamiento."
196,1249.810,1255.130,"Por decir, en Hugging Face, tú puedes cargar el modelo,"
197,1255.290,1258.810,"también tiene un complemento que es como la parte de progresamiento,"
198,1259.550,1260.830,"para garantizar toda la estructura,"
199,1261.330,1264.110,y con eso se puede suministrar al modelo directamente
200,1264.110,1266.070,para efectos de TENET predicciones.
201,1267.710,1271.350,"Entonces, aquí hay unos cálculos, digamos, que se puede tomar como referencia"
202,1271.350,1273.350,para efectos de centralización.
203,1273.570,1276.690,"Una que tenemos los centros, yo necesito es normalizar la información,"
204,1276.970,1280.390,"porque como sabemos, los modelos de red neuronal son puntos sensibles"
205,1280.390,1282.250,"con respecto a escala, ¿bien?"
206,1282.330,1286.550,"Entonces, ello lo que hace prácticamente, bueno, vamos a normalizar toda la información"
207,1286.550,1288.870,"que está como una cajita entre 0 y 1, ¿bien?"
208,1288.930,1293.650,"Entonces, con esa información es que tratamos de hacer esas estimaciones, ¿bien?"
209,1293.650,1299.410,"Entonces, por tanto acá, prácticamente el centro lo escalamos en función del ancho,"
210,1299.550,1302.430,"digamos, en la coordenada horizontal con el ancho,"
211,1302.550,1305.090,"en la coordenada vertical lo escalamos con respecto a la altura,"
212,1305.690,1310.430,"y el ancho y el alto prácticamente lo podemos medir en función de lo que es la longitud,"
213,1310.970,1317.290,"mínimo con máximo, digamos, y partido por lo que es la longitud o el ancho de la imagen."
214,1317.290,1319.450,Lo mismo ocurre con las partes de las alturas.
215,1319.450,1328.790,"Entonces, cada uno de estos cálculos simplemente lo que hacemos es normalizar la información y en función de esto es que nosotros tratamos de hacer esa estimación."
216,1330.170,1339.250,"Entonces, por tanto, es necesario recordar que no todas las celdas van a tener alguna información."
217,1339.250,1348.230,"Por tanto, uno, ¿cómo sabemos o cómo podemos indicar al modelo que, mira, aquí no va a haber nada?"
218,1348.350,1354.030,"Por tanto, no es necesario que nosotros calculemos alguna función de error, porque si no hay nada,"
219,1354.350,1360.110,"prácticamente necesitamos, podemos simplificar algo, y si tenemos algo, necesitamos tener como un indicador,"
220,1360.210,1365.630,"que mira, aquí hay algo, ¿bien? Entonces, por tanto, es necesario que recordemos que no siempre,"
221,1365.630,1370.370,"no todas las cuadrículas, va a tener algo y mayormente, posiblemente, depende de la situación,"
222,1371.130,1373.070,va a tener varias celdas que están vacías.
223,1373.370,1377.150,"Entonces, esas son las cosas que es necesario tener en cuenta."
224,1378.090,1382.850,"Entonces, los dos celdas de interés, prácticamente, que queremos estimar son estos dos."
225,1383.030,1387.150,"Uno, que representaría como el punto rojo, la persona que estamos tratando de detectar,"
226,1387.490,1389.610,"y el punto azul sería, en este caso, el caballo."
227,1389.910,1394.430,"Entonces, estos serían las celdas de interés, o digamos, celdas que tienen elementos."
228,1394.430,1397.330,"En este caso, que hace la representación de cada uno de estos objetos."
229,1398.810,1405.530,"Entonces, parte de la información que queremos tomar como referencia de entrada,"
230,1405.730,1412.270,"digamos como salida del modelo, prácticamente es tratar de estimar estos elementos que tenemos acá."
231,1412.810,1416.490,"Yo quiero estimar cuál sería prácticamente la coordenada del centro,"
232,1416.830,1421.510,"tanto el X y Y en la parte de horizontal y vertical, el ancho y el alto."
233,1421.510,1424.250,y aquí está el parámetro que me indica
234,1424.250,1426.190,o el elemento que me indica
235,1426.190,1428.150,si la celda contiene algo
236,1428.150,1429.870,"o no contiene nada. Bien, entonces"
237,1429.870,1431.750,este confidence.conf
238,1431.750,1434.190,prácticamente hace ese rol
239,1434.190,1436.170,indicando que
240,1436.170,1437.610,si hay algo en esa celda
241,1437.610,1439.290,prácticamente yo me
242,1439.290,1441.510,"le estoy indicando al modelo, mira, aquí"
243,1441.510,1444.370,yo necesito tener como más en cuenta
244,1444.370,1446.250,"bien, los que tienen la celda en vacío"
245,1446.250,1447.570,prácticamente no me importa
246,1447.570,1449.790,si logra estimar algo o no
247,1449.790,1459.010,"Pero siempre y cuando esta confidencia sea cero, prácticamente no importa si hay algo estimado o no, yo puedo filtrarlo posteriormente."
248,1459.390,1463.150,Eso es como un auxiliar en ese sentido.
249,1463.810,1469.290,"Entonces, por tanto, teniendo esa referencia, prácticamente yo necesito tener construcción de ese vector."
250,1469.430,1474.410,"Este vector sería la referencia del ancho de la cajita, si hay algo también como referencia."
251,1474.410,1480.310,"Y aquí, digamos, el otro vector que está seguido sería como la probabilidad de las clases."
252,1480.730,1487.750,"En este caso, YOLO, en su inicio, digamos, su modelo base, lo adaptaron para detectar 20 objetos."
253,1488.170,1496.870,"Entonces, por tanto, tenemos 20 categorías que tenemos acá para efectos de detectar personas, balones, por ejemplo, vehículos, aviones."
254,1497.210,1500.870,"Entonces, todo esto, digamos, sería la conformación de 20 categorías."
255,1500.870,1503.470,si ustedes tienen un problema con más categoría
256,1503.470,1505.750,simplemente este vector se extiende un poco más
257,1505.750,1506.930,en cambio las
258,1506.930,1509.010,primeros cinco elementos
259,1509.010,1510.810,se preservan la misma estructura
260,1510.810,1513.530,eso es lo que hace la referencia
261,1513.530,1515.310,hace la variación entre cada uno
262,1515.310,1517.750,de estos elementos
263,1517.750,1519.150,y por lo general
264,1519.150,1520.550,este vector que tenemos acá
265,1520.550,1522.810,simplemente detectamos un solo objeto
266,1522.810,1524.410,si tenemos múltiples objetos
267,1524.410,1526.630,entonces necesitamos prácticamente
268,1526.630,1528.850,escoger uno de ellos dos
269,1528.850,1531.090,o una de esas que están disponibles.
270,1531.570,1533.390,"Por ejemplo, simplemente que en una de las celdas"
271,1533.390,1536.470,usted puede tener dos objetos como su centro.
272,1536.930,1538.410,"Bien, si ese es el caso que ocurre,"
273,1538.710,1540.910,entonces escoge uno de ellos para detección.
274,1541.550,1543.490,"Y si quiere que detecte también ese objeto,"
275,1543.750,1545.850,es cuestión de hacer la cuadrilla más refinada.
276,1546.190,1548.590,"Entonces, con eso se puede, digamos, abordar la temática"
277,1548.590,1551.230,de tener más o menos varios objetos cercanos.
278,1551.610,1556.510,"Entonces, claro, el cómputo cada vez es más complicado, por supuesto."
279,1556.510,1564.930,"Bien, entonces, por tanto, este P1, P20, en realidad va a tener uno de ellas, como dato original, debe ser de probabilidad 1,"
280,1565.110,1566.610,del resto sería probabilidad 0.
281,1566.830,1572.670,"Entonces, relativamente, este vector que tenemos acá es como la representación de codificación One-Hand Encoding."
282,1572.950,1577.850,"Bien, ceros casi todos los elementos, salvo uno, que sería el objeto de interés."
283,1579.490,1582.130,"Entonces, ¿cómo armamos esta salida?"
284,1582.130,1590.470,En realidad la salida del modelo de esta YOLO es algo diferente al que nosotros hemos visto hasta ahora.
285,1590.890,1596.650,En sentido diferente que el B es estimar prácticamente un solo número o ese vector.
286,1596.910,1602.110,Prácticamente podemos orientar que en cada una de estas cerditas yo posiblemente tenga este vector.
287,1602.950,1608.250,Entonces ese vector sería en este caso 5 elementos más la cantidad de categoría que nosotros tenemos que estimar.
288,1608.610,1610.510,Por tanto vamos a tener un cubo.
289,1610.510,1618.550,"Ese cubo sería, en este caso, las primeras partes que representaría las coordenadas, el parámetro de indicador de confidence,"
290,1619.170,1625.570,"y el resto sería, digamos, la probabilidad que representaría el objeto."
291,1625.810,1632.030,"En este caso, el tensor que tenemos acá, digamos, admite para posiblemente estimar dos elementos,"
292,1632.350,1635.110,pero después del procesamiento quedaría con uno solo que sea más probable.
293,1635.450,1637.810,"Entonces, esa es la parte del procesamiento."
294,1637.810,1640.510,entonces en realidad lo que tenemos es el tensor de salida
295,1640.510,1642.270,esta sería como la salida que queremos
296,1642.270,1644.150,"predecir, bien, entonces"
297,1644.150,1645.750,estamos haciendo de una vez
298,1645.750,1648.290,"de manera simultánea, predecir cuáles serían las"
299,1648.290,1650.370,"coordenadas, el centro, el ancho"
300,1650.370,1652.170,y el alto de esa cajita
301,1652.170,1654.330,y también si hay objeto o no hay objeto
302,1654.330,1655.970,sería el confidence que tenemos acá
303,1655.970,1658.210,seguido de lo que tiene adelante sería
304,1658.210,1660.690,las probabilidades de esa categoría
305,1660.690,1662.630,si está presente o no está presente
306,1662.630,1664.750,"bien, entonces, por tanto es un tensor"
307,1664.750,1666.690,tridimensional y eso
308,1666.690,1668.730,lo que sería como prácticamente la salida
309,1668.730,1670.130,"de ese modelo. Entonces, por tanto,"
310,1670.610,1672.530,lo que toma YOLO como representación
311,1672.530,1674.590,"toma sus imágenes, o esa imagen"
312,1674.590,1676.430,"particular, y trata de estimar"
313,1676.430,1678.650,"estas cajitas. Y estas cajitas, vamos a"
314,1678.650,1680.350,"tener prácticamente alguna de estas celdas,"
315,1680.690,1682.710,"hay algo, ¿bien? Sería el objeto que queremos"
316,1682.710,1684.690,"detectar, y posiblemente hay un montón"
317,1684.690,1686.110,de celdas que no tengan nada.
318,1686.630,1688.690,Esa es la idea. ¿Se entiende
319,1688.690,1690.510,más o menos la idea del
320,1690.510,1691.090,enfoque YOLO?
321,1693.690,1694.750,"Entonces, YOLO,"
322,1694.850,1695.410,"en este caso,"
323,1695.410,1697.790,"en el fondo, si yo tengo"
324,1697.790,1699.750,"una imagen de esta forma, tenemos esta grilla,"
325,1700.050,1701.830,"él va a tratar, digamos, de conseguir"
326,1701.830,1703.790,"un montón de cosas. Bien, por lo tanto, va a tener"
327,1703.790,1706.330,"varias cajitas que logra encontrarse,"
328,1706.770,1707.530,"pero esas cajitas,"
329,1707.910,1709.590,lo más probable es que hay uno que tiene probabilidad
330,1709.590,1711.770,"relativamente reducida, o bastante baja."
331,1712.030,1713.550,"Bien, entonces, si nosotros"
332,1713.550,1715.510,"filtramos esas cajitas, bien,"
